IP地址,端口,回源端口,数据中心,地区,城市,TCP延迟(ms),速度(kB/s)
8.219.222.8,443,443,SG,Singapore,Singapore,255 ms,6408 kB/s
146.70.175.102,443,443,NL,Amsterdam,Amsterdam,150 ms,14336 kB/s
8.219.159.232,443,443,SG,Singapore,Singapore,256 ms,8012 kB/s
8.222.219.34,443,443,SG,Singapore,Singapore,254 ms,6535 kB/s
193.123.94.216,443,443,AE,Dubai,Dubai,252 ms,5285 kB/s
8.219.179.34,443,443,SG,Singapore,Singapore,256 ms,7466 kB/s
8.217.49.34,443,443,HK,Hong Kong,Hong Kong,157 ms,12185 kB/s
8.210.65.1,443,443,HK,Hong Kong,Hong Kong,152 ms,11776 kB/s
149.129.8.215,443,443,US,San Jose,San Jose,164 ms,498 kB/s
8.218.149.193,443,443,HK,Hong Kong,Hong Kong,156 ms,13721 kB/s
47.89.244.253,443,443,US,San Jose,San Jose,76 ms,2288 kB/s
8.219.12.152,443,443,SG,Singapore,Singapore,255 ms,6982 kB/s
8.219.228.193,443,443,SG,Singapore,Singapore,255 ms,7056 kB/s
8.210.146.108,443,443,HK,Hong Kong,Hong Kong,148 ms,11468 kB/s
139.185.41.233,443,443,AE,Paris,Paris,250 ms,2937 kB/s
152.67.214.73,443,443,KR,Seoul,Seoul,131 ms,15462 kB/s
8.219.247.203,443,443,SG,Singapore,Singapore,256 ms,5791 kB/s
8.219.235.164,443,443,SG,Singapore,Singapore,254 ms,5922 kB/s
158.180.231.216,443,443,IT,,,162 ms,4360 kB/s
8.222.208.83,443,443,SG,Singapore,Singapore,256 ms,8476 kB/s
47.57.245.232,443,443,US,San Jose,San Jose,149 ms,15 kB/s
146.70.175.179,443,443,NL,Amsterdam,Amsterdam,150 ms,14950 kB/s
141.148.212.70,443,443,IN,Mumbai,Mumbai,254 ms,6823 kB/s
129.151.134.185,443,443,AE,Hong Kong,Hong Kong,256 ms,6002 kB/s
8.219.98.13,443,443,SG,Singapore,Singapore,255 ms,6741 kB/s
23.90.151.62,443,443,DE,Frankfurt,Frankfurt,157 ms,13824 kB/s
8.219.72.51,443,443,SG,Singapore,Singapore,255 ms,6769 kB/s
47.243.161.235,443,443,HK,Hong Kong,Hong Kong,155 ms,16896 kB/s
168.138.70.29,443,443,CA,Toronto,Toronto,75 ms,5551 kB/s
138.2.18.184,443,443,JP,Hong Kong,Hong Kong,170 ms,5264 kB/s
23.90.144.169,443,443,DE,Frankfurt,Frankfurt,155 ms,13312 kB/s
8.222.252.150,443,443,SG,Singapore,Singapore,254 ms,6363 kB/s
8.219.238.145,443,443,SG,Singapore,Singapore,254 ms,6331 kB/s
8.219.74.35,443,443,SG,Singapore,Singapore,255 ms,6192 kB/s
146.70.175.175,443,443,NL,Amsterdam,Amsterdam,151 ms,12902 kB/s
146.70.175.170,443,443,NL,Amsterdam,Amsterdam,151 ms,12902 kB/s
8.218.18.235,443,443,HK,Hong Kong,Hong Kong,155 ms,11468 kB/s
8.218.119.115,443,443,HK,Hong Kong,Hong Kong,156 ms,14745 kB/s
8.219.241.189,443,443,SG,Singapore,Singapore,256 ms,6832 kB/s
128.1.18.29,443,443,US,San Jose,San Jose,104 ms,91 kB/s
146.70.175.111,443,443,NL,Amsterdam,Amsterdam,151 ms,12492 kB/s
47.245.96.163,443,443,SG,Singapore,Singapore,254 ms,5846 kB/s
8.219.248.47,443,443,SG,Singapore,Singapore,254 ms,7147 kB/s
8.219.237.250,443,443,SG,Singapore,Singapore,255 ms,8580 kB/s
123.58.212.234,443,443,HK,Hong Kong,Hong Kong,153 ms,115 kB/s
129.153.61.213,443,443,CA,Toronto,Toronto,75 ms,44441 kB/s
168.138.52.13,443,443,JP,Hong Kong,Hong Kong,149 ms,5564 kB/s
47.236.87.206,443,443,SG,Singapore,Singapore,255 ms,6804 kB/s
193.123.81.105,443,443,AE,Paris,Paris,252 ms,4215 kB/s
146.70.175.169,443,443,NL,Amsterdam,Amsterdam,146 ms,14233 kB/s
8.219.126.240,443,443,SG,Singapore,Singapore,271 ms,6703 kB/s
47.245.86.230,443,443,SG,Singapore,Singapore,255 ms,6665 kB/s
8.218.85.128,443,443,HK,Hong Kong,Hong Kong,153 ms,12288 kB/s
146.70.175.172,443,443,NL,Amsterdam,Amsterdam,151 ms,13516 kB/s
47.243.173.187,443,443,HK,Hong Kong,Hong Kong,154 ms,11980 kB/s
146.70.175.168,443,443,NL,Amsterdam,Amsterdam,151 ms,13619 kB/s
8.212.19.60,443,443,US,San Jose,San Jose,154 ms,256 kB/s
146.70.175.117,443,443,NL,Amsterdam,Amsterdam,152 ms,13516 kB/s
47.242.17.250,443,443,HK,Hong Kong,Hong Kong,155 ms,11366 kB/s
129.159.241.172,443,443,DE,,,152 ms,7071 kB/s
146.70.175.105,443,443,NL,Amsterdam,Amsterdam,147 ms,13004 kB/s
168.138.44.120,443,443,JP,Tokyo,Tokyo,150 ms,12595 kB/s
168.138.41.79,443,443,JP,Osaka,Osaka,149 ms,12800 kB/s
47.243.42.219,443,443,HK,Hong Kong,Hong Kong,154 ms,10752 kB/s
8.218.8.142,443,443,HK,Hong Kong,Hong Kong,149 ms,11059 kB/s
8.210.9.129,443,443,HK,Hong Kong,Hong Kong,154 ms,10956 kB/s
8.210.245.224,443,443,HK,Hong Kong,Hong Kong,152 ms,13516 kB/s
146.70.175.119,443,443,NL,Amsterdam,Amsterdam,152 ms,14950 kB/s
146.70.175.125,443,443,NL,Amsterdam,Amsterdam,150 ms,15052 kB/s
47.57.14.118,443,443,US,San Jose,San Jose,156 ms,17 kB/s
8.217.164.10,443,443,HK,Hong Kong,Hong Kong,153 ms,13209 kB/s
8.219.151.193,443,443,SG,Singapore,Singapore,254 ms,5706 kB/s
8.219.170.232,443,443,SG,Singapore,Singapore,254 ms,6724 kB/s
132.226.10.16,443,443,JP,Hong Kong,Hong Kong,103 ms,15257 kB/s
146.70.169.118,443,443,NL,Amsterdam,Amsterdam,152 ms,14028 kB/s
8.210.39.96,443,443,HK,Hong Kong,Hong Kong,153 ms,12697 kB/s
47.242.171.94,443,443,HK,Hong Kong,Hong Kong,153 ms,12492 kB/s
146.70.175.185,443,443,NL,Amsterdam,Amsterdam,151 ms,13516 kB/s
129.146.186.4,443,443,US,Los Angeles,Los Angeles,66 ms,56217 kB/s
8.218.158.94,443,443,HK,Hong Kong,Hong Kong,157 ms,15155 kB/s
146.70.175.181,443,443,NL,Amsterdam,Amsterdam,151 ms,13516 kB/s
146.70.175.166,443,443,NL,Amsterdam,Amsterdam,150 ms,13824 kB/s
146.70.175.173,443,443,NL,Amsterdam,Amsterdam,151 ms,12902 kB/s
8.219.251.81,443,443,SG,Singapore,Singapore,256 ms,7109 kB/s
8.219.6.157,443,443,SG,Singapore,Singapore,254 ms,5939 kB/s
8.217.207.60,443,443,HK,Hong Kong,Hong Kong,149 ms,5856 kB/s
192.18.148.248,443,443,CA,Toronto,Toronto,57 ms,4999 kB/s
141.147.168.39,443,443,JP,Tokyo,Tokyo,104 ms,20889 kB/s
64.110.104.30,443,443,JP,Osaka,Osaka,149 ms,4891 kB/s
8.219.142.229,443,443,SG,Singapore,Singapore,255 ms,5857 kB/s
146.70.175.186,443,443,NL,Amsterdam,Amsterdam,151 ms,12083 kB/s
47.243.203.119,443,443,HK,Hong Kong,Hong Kong,152 ms,13312 kB/s
146.70.175.100,443,443,NL,Amsterdam,Amsterdam,151 ms,14950 kB/s
150.230.47.17,443,443,US,San Jose,San Jose,92 ms,286720 kB/s
8.222.212.172,443,443,SG,Singapore,Singapore,257 ms,7843 kB/s
8.218.201.73,443,443,HK,Hong Kong,Hong Kong,153 ms,12800 kB/s
8.219.206.53,443,443,SG,Singapore,Singapore,258 ms,7941 kB/s
8.219.193.202,443,443,SG,Singapore,Singapore,256 ms,6781 kB/s
8.222.164.209,443,443,SG,Singapore,Singapore,254 ms,6804 kB/s
146.70.175.187,443,443,NL,Amsterdam,Amsterdam,151 ms,14028 kB/s
130.61.23.77,443,443,DE,Frankfurt,Frankfurt,148 ms,14643 kB/s
8.219.174.142,443,443,SG,Singapore,Singapore,255 ms,7321 kB/s
8.219.73.188,443,443,SG,Singapore,Singapore,254 ms,5835 kB/s
8.219.245.187,443,443,SG,Singapore,Singapore,254 ms,5865 kB/s
8.219.175.127,443,443,SG,Singapore,Singapore,254 ms,5820 kB/s
8.219.40.255,443,443,SG,Singapore,Singapore,257 ms,6838 kB/s
146.70.175.116,443,443,NL,Amsterdam,Amsterdam,151 ms,12390 kB/s
47.236.130.95,443,443,SG,Singapore,Singapore,254 ms,5383 kB/s
8.219.58.64,443,443,SG,Singapore,Singapore,254 ms,5918 kB/s
129.153.165.237,443,443,US,Ashburn,Ashburn,75 ms,36352 kB/s
8.222.208.38,443,443,SG,Singapore,Singapore,254 ms,7220 kB/s
47.245.100.33,443,443,SG,Singapore,Singapore,255 ms,7211 kB/s
8.219.72.50,443,443,SG,Singapore,Singapore,257 ms,8510 kB/s
144.21.60.82,443,443,DE,Frankfurt,Frankfurt,154 ms,10137 kB/s
8.222.244.123,443,443,SG,Singapore,Singapore,255 ms,8012 kB/s
152.67.249.123,443,443,US,San Jose,San Jose,52 ms,210944 kB/s
47.251.74.226,443,443,US,Los Angeles,Los Angeles,38 ms,18022 kB/s
8.222.209.223,443,443,SG,Singapore,Singapore,253 ms,6328 kB/s
49.51.46.56,443,443,US,San Jose,San Jose,33 ms,1126 kB/s
152.67.217.102,443,443,KR,Hong Kong,Hong Kong,133 ms,16384 kB/s
8.219.124.227,443,443,SG,Singapore,Singapore,254 ms,5903 kB/s
146.70.175.177,443,443,NL,Amsterdam,Amsterdam,150 ms,12697 kB/s
129.146.46.164,443,443,US,Los Angeles,Los Angeles,52 ms,41779 kB/s
152.67.250.155,443,443,US,San Jose,San Jose,126 ms,56934 kB/s
8.222.152.165,443,443,SG,Singapore,Singapore,255 ms,8498 kB/s
146.70.175.106,443,443,NL,Amsterdam,Amsterdam,150 ms,14848 kB/s
47.89.191.155,443,443,US,Ashburn,Ashburn,72 ms,2940 kB/s
8.222.221.86,443,443,SG,Singapore,Singapore,255 ms,8028 kB/s
8.222.249.98,443,443,SG,Singapore,Singapore,254 ms,6761 kB/s
146.70.175.183,443,443,NL,Amsterdam,Amsterdam,153 ms,14028 kB/s
23.90.144.168,443,443,DE,Frankfurt,Frankfurt,154 ms,13721 kB/s
146.56.151.2,443,443,KR,Seoul,Seoul,133 ms,17408 kB/s
143.47.245.22,443,443,US,Frankfurt,Frankfurt,154 ms,12288 kB/s
8.218.65.237,443,443,HK,Hong Kong,Hong Kong,154 ms,12083 kB/s
